,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
119,"Albizati, Kim F.",CHEM 40A - Organic Chemistry I (C),FA22,269,105,81.6%,94.1%,8.48,B (3.21),B- (2.88)
120,"Yang, Jerry",CHEM 40A - Organic Chemistry I (D),FA22,262,112,60.9%,63.6%,8.88,B- (2.82),B- (2.98)
121,"Oconnor, Joseph M.",CHEM 40B - Organic Chemistry II (A),FA22,297,108,45.1%,45.1%,8.8,C+ (2.64),C+ (2.51)
122,"Lam, Tin Yiu",CHEM 40C - Organic Chemistry III (A),FA22,134,53,60.8%,72.5%,8.54,B- (2.84),C+ (2.63)
123,"Hopkins, Patrycja Anna",CHEM 41A - Organic I: Struct & React (A),FA22,288,117,82.5%,94.7%,8.45,B (3.10),B (3.23)
124,"Klosterman, Jeremy K",CHEM 43A - Organic Chemistry Laboratory (A),FA22,224,188,70.4%,70.4%,8.77,B (3.24),B (3.09)
125,"Klosterman, Jeremy K",CHEM 43A - Organic Chemistry Laboratory (B),FA22,230,181,74.0%,68.0%,9.14,B (3.16),B- (2.97)
126,"Pomeroy, Robert S.",CHEM 6A - General Chemistry I (A),FA22,135,62,83.9%,72.1%,7.5,B- (2.93),B- (2.92)
127,"Schurmeier, Kimberly",CHEM 6A - General Chemistry I (B),FA22,217,114,86.1%,88.8%,6.95,B (3.11),B (3.05)
128,"Schurmeier, Kimberly",CHEM 6A - General Chemistry I (C),FA22,310,130,92.6%,92.3%,6.84,B (3.16),B (3.15)
129,"Stallings, Dontarie M",CHEM 6A - General Chemistry I (D),FA22,312,172,93.3%,96.9%,6.83,B (3.17),B (3.09)
130,"Brydges, Stacey",CHEM 6A - General Chemistry I (E),FA22,315,180,89.7%,90.3%,6.83,B (3.15),B- (2.98)
131,"Brydges, Stacey",CHEM 6A - General Chemistry I (F),FA22,318,193,89.6%,90.6%,6.42,B+ (3.33),B (3.06)
132,"Zid, Brian M",CHEM 6A - General Chemistry I (G),FA22,317,154,88.5%,91.8%,6.22,B+ (3.45),B+ (3.32)
133,"Stallings, Dontarie M",CHEM 6A - General Chemistry I (H),FA22,317,182,95.5%,97.8%,6.67,B (3.26),B+ (3.30)
134,"Paesani, Francesco",CHEM 6AH - Honors General Chemistry I (A),FA22,81,53,82.7%,96.0%,6.92,B+ (3.35),B (3.27)
135,"Hopkins, Patrycja Anna",CHEM 6B - General Chemistry II (A),FA22,257,84,79.7%,89.6%,6.13,B- (2.95),B- (2.97)
136,"Albizati, Kim F.",CHEM 6C - General Chemistry III (A),FA22,347,122,91.3%,98.3%,7.76,B (3.16),B- (2.84)
137,"Leigh, Brian",CHEM 7L - General Chemistry Laboratory (A),FA22,231,100,74.5%,85.1%,7.91,B (3.04),B (3.08)
138,"Leigh, Brian",CHEM 7L - General Chemistry Laboratory (B),FA22,227,72,79.4%,85.3%,7.9,B (3.10),B (3.07)
139,"Leigh, Brian",CHEM 7L - General Chemistry Laboratory (D),FA22,230,81,79.2%,81.8%,8.21,B (3.03),B (3.09)
140,"Bussey, Thomas J",CHEM 87 - Freshman Seminar (A),FA22,17,7,100.0%,100.0%,0.5,A (4.00),
141,"Bussey, Thomas J",CHEM 96 - Introductn to Teaching Science (A),FA22,11,5,100.0%,100.0%,2.9,A- (3.80),
142,"Stallings, Dontarie M",CHEM 11 - The Periodic Table (A),S222,94,71,91.4%,98.6%,5.72,B+ (3.32),B+ (3.55)
143,"Stallings, Dontarie M",CHEM 114A - Biochemical Structure&Function (A),S222,84,63,90.5%,90.5%,8.53,B (3.26),B (3.18)
144,"Hopkins, Patrycja Anna",CHEM 40A - Organic Chemistry I (A),S222,112,32,75.0%,81.3%,9.75,B (3.03),B+ (3.33)
145,"Albizati, Kim F.",CHEM 40B - Organic Chemistry II (A),S222,132,24,86.4%,100.0%,9.05,B (3.19),B- (2.72)
146,"Ternansky, Robert J.",CHEM 40C - Organic Chemistry III (A),S222,49,11,54.5%,72.7%,10.9,B (3.00),C+ (2.42)
147,"Vasquez, Carlos Anthony",CHEM 6A - General Chemistry I (A),S222,60,37,100.0%,100.0%,5.78,B+ (3.56),B+ (3.37)
148,"Angle, Kyle James",CHEM 6B - General Chemistry II (A),S222,54,25,92.0%,96.0%,8.98,B (3.28),B (3.00)
149,"Hamaoka, Brent Y",CHEM 6C - General Chemistry III (A),S222,188,60,29.3%,16.1%,11.2,C (2.27),C+ (2.64)
150,"Hamaoka, Brent Y",CHEM 109 - Recombinant DNA Laboratory (A),S122,29,7,100.0%,85.7%,16.5,B (3.14),B+ (3.47)
151,"Klosterman, Jeremy K",CHEM 143B - Organic Chemistry Lab II (A),S122,25,23,82.6%,87.0%,9.8,C+ (2.70),B- (2.76)
152,"Oconnor, Joseph M.",CHEM 40A - Organic Chemistry I (A),S122,75,14,66.7%,33.3%,11.77,C+ (2.55),C+ (2.34)
153,"Weizman, Haim",CHEM 40B - Organic Chemistry II (A),S122,77,12,50.0%,90.9%,9.95,C+ (2.50),B- (2.88)
154,"Klosterman, Jeremy K",CHEM 40C - Organic Chemistry III (A),S122,31,26,76.9%,88.5%,12.88,B- (2.84),C+ (2.45)
155,"Weizman, Haim",CHEM 43A - Organic Chemistry Laboratory (A),S122,76,19,36.8%,44.4%,11.66,B- (2.95),B (3.27)
156,"Evanoff, Mallory",CHEM 6A - General Chemistry I (A),S122,69,42,92.7%,92.7%,7.74,B (3.17),C+ (2.57)
157,"Hopkins, Patrycja Anna",CHEM 6B - General Chemistry II (A),S122,112,41,97.6%,95.0%,7.73,B+ (3.49),B- (2.92)
