,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
1104,"Cao, Yingjun",CSE 95 - Tutor Apprentice (A),WI19,49,34,94.1%,100.0%,2.26,A (4.00),
1105,"Nemat-Nasser, Siavouche",SE 101A - Mechanics I: Statics (A),WI19,14,6,100.0%,80.0%,6.1,B+ (3.40),
1106,"Eliasson, Veronica",SE 101B - Mechanics II: Dynamics (A),WI19,45,44,97.7%,97.7%,10.77,C+ (2.68),C (2.23)
1107,"Amaddeo, Carmen N.",SE 101B - Mechanics II: Dynamics (B),WI19,48,21,50.0%,60.0%,7.1,B- (2.85),B- (2.81)
1108,"Van Den Einde, Yael Dahlia",SE 103 - Conceptual Structural Design (A),WI19,78,13,91.7%,91.7%,13.12,B- (2.85),B- (2.84)
1109,"Behrou, Reza",SE 110A - Solid Mechanics I (A),WI19,46,46,100.0%,91.1%,7.12,B (3.20),B+ (3.50)
1110,"Amaddeo, Carmen N.",SE 110A - Solid Mechanics I (B),WI19,48,14,83.3%,75.0%,7.0,B- (2.83),C+ (2.69)
1111,"Zhu, Qiang",SE 115 - Fluid Mechanics/Structural Eng (A),WI19,98,26,88.0%,88.0%,7.38,B (3.04),B- (2.86)
1112,"Krysl, Petr",SE 121B - Computing Projects in SE (A),WI19,106,22,84.2%,78.9%,9.6,B (3.00),B (3.02)
1113,"Mosqueda, Gilberto",SE 130A - Structural Analysis I (A),WI19,46,15,73.3%,93.3%,10.63,B- (2.93),B- (2.72)
1114,"Uang, Chia-Ming",SE 140A - Prof. Issues/Design - Civil I (B),WI19,81,34,87.5%,93.8%,13.0,B+ (3.47),B (3.30)
1115,"Kim, Hyonny",SE 143A - Aerospace Structural Design I (B),WI19,20,6,100.0%,100.0%,18.9,B+ (3.40),B (3.28)
1116,"Megally, Sami Hanna",SE 151A - Design of Reinforced Concrete (A),WI19,87,82,90.2%,91.5%,13.06,B (3.02),B- (2.99)
1117,"Martins, Benjamin Levi",SE 160A - Aerospace Structural Mechs I (D),WI19,96,25,96.0%,100.0%,9.17,B+ (3.52),B (3.13)
1118,"Kim, Hyonny",SE 171 - Aerospace Structures Repair (A),WI19,15,12,100.0%,100.0%,6.67,B (3.18),
1119,"Tomac, Ingrid",SE 182 - Foundation Engineering (A),WI19,48,42,87.8%,69.2%,6.9,B+ (3.59),B+ (3.39)
1120,"Porter, Leonard Emerson",CSE 100 - Advanced Data Structures (A),FA18,298,263,93.1%,96.2%,11.04,B+ (3.40),B (3.10)
1121,"Sahoo, Debashis",CSE 100 - Advanced Data Structures (B),FA18,129,112,88.4%,74.1%,11.29,B (3.27),B (3.01)
1122,"Kane, Daniel Mertz",CSE 101 - Design & Analysis of Algorithm (A),FA18,148,67,93.8%,95.2%,12.31,B (3.11),B (3.16)
1123,"Ochoa, Benjamin Lawrence",CSE 101 - Design & Analysis of Algorithm (B),FA18,186,50,87.0%,78.3%,7.99,B (3.23),C+ (2.59)
1124,"Freund, Yoav",CSE 103 - Practical Intro/Prob & Stats (A),FA18,144,59,45.5%,49.1%,6.84,B (3.26),B+ (3.42)
1125,"Jones, Miles E",CSE 105 - Theory of Computation (A),FA18,86,29,96.4%,96.2%,7.61,B+ (3.33),B- (2.89)
1126,"Jones, Miles E",CSE 105 - Theory of Computation (B),FA18,140,49,79.5%,88.6%,8.14,B+ (3.38),B- (2.89)
