,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
775,"Impagliazzo, Russell",CSE 101 - Design & Analysis of Algorithm (A),SP19,151,59,85.7%,66.1%,8.43,B (3.06),B- (2.95)
776,"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (B),SP19,150,34,74.2%,87.1%,8.89,B- (2.84),B- (2.77)
777,"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (C),SP19,150,54,84.3%,82.4%,9.46,B- (2.82),B- (2.77)
778,"Lovett, Shachar",CSE 105 - Theory of Computation (A),SP19,382,270,94.1%,95.5%,7.48,B+ (3.46),B+ (3.30)
779,"Micciancio, Daniele",CSE 107 - Intro to Modern Cryptography (A),SP19,84,24,69.6%,81.8%,9.28,B (3.00),B (3.20)
780,"August, Robert Henry",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP19,180,68,92.3%,87.7%,5.98,B+ (3.58),B (3.26)
781,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP19,295,101,51.0%,47.4%,7.8,B+ (3.46),B+ (3.39)
782,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A),SP19,151,35,96.9%,96.9%,7.83,B+ (3.61),B+ (3.59)
783,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SP19,133,62,92.9%,69.1%,13.31,B (3.25),B (3.05)
784,"Zaitsev, Anna L",CSE 12 - Basic Data Struct & OO Design (B),SP19,184,145,94.3%,74.5%,12.08,B+ (3.38),B- (3.00)
785,"Zaitsev, Anna L",CSE 12 - Basic Data Struct & OO Design (C),SP19,175,139,89.8%,74.5%,11.4,B+ (3.38),B- (3.00)
786,"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),SP19,200,57,92.3%,98.0%,9.77,B+ (3.57),B- (2.98)
787,"Shalev, Aaron D",CSE 123 - Computer Networks (A),SP19,158,37,80.0%,74.3%,9.87,C+ (2.67),C+ (2.52)
788,"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP19,30,10,100.0%,100.0%,14.5,A (4.00),A (4.00)
789,"Savage, Stefan",CSE 127 - Intro to Computer Security (A),SP19,220,53,95.9%,98.0%,8.26,B+ (3.38),B- (2.96)
790,"Jhala, Ranjit",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SP19,197,46,93.2%,90.9%,8.82,B+ (3.42),B (3.27)
791,"Bakst, Alexander Goldberg",CSE 131 - Compiler Construction (A),SP19,47,15,92.9%,85.7%,8.36,B+ (3.40),B+ (3.37)
792,"Cheng, Chung Kuan",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP19,185,54,70.2%,68.1%,7.9,B+ (3.55),B (3.24)
793,"Cheng, Chung Kuan",CSE 140 - Component&Desgn Tech/Digtl Sys (B),SP19,180,54,69.6%,67.4%,8.15,B (3.11),B (3.24)
794,"Chin, Bryan W.",CSE 140L - Digital Systems Laboratory (A),SP19,201,62,42.4%,68.4%,15.12,B (3.28),B+ (3.51)
795,"Chin, Bryan W.",CSE 140L - Digital Systems Laboratory (B),SP19,76,30,31.0%,48.3%,15.21,B (3.18),B+ (3.51)
796,"Tsaur, Lih-Feng",CSE 140L - Digital Systems Laboratory (C),SP19,74,24,21.7%,45.5%,14.5,C+ (2.68),B (3.10)
797,"Tullsen, Dean Michael",CSE 141 - Intro/Computer Architecture (A),SP19,100,53,81.1%,84.9%,7.54,B (3.16),B (3.01)
798,"Eldon, John",CSE 141L - Project/Computer Architecture (A),SP19,161,32,75.0%,87.5%,8.5,B+ (3.53),B+ (3.44)
799,"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),SP19,14,6,100.0%,100.0%,7.17,C+ (2.40),
800,"Chaudhuri, Kamalika",CSE 151 - Intro to A.I. Stats Approach (A),SP19,201,50,91.7%,91.7%,7.69,B+ (3.51),B+ (3.69)
801,"Kriegman, David J",CSE 152 - Intro to Computer Vision (A),SP19,94,17,91.7%,83.3%,9.83,B+ (3.36),B (3.02)
802,"Nakashole, Ndapandula",CSE 156 - Statistical NLP (A),SP19,175,29,85.2%,85.7%,9.19,B+ (3.63),B (3.27)
803,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),SP19,154,84,86.5%,85.1%,4.45,B+ (3.44),B (3.11)
804,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (B),SP19,136,72,86.6%,97.0%,3.72,B+ (3.54),B (3.27)
805,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (C),SP19,151,72,84.3%,98.6%,3.89,B+ (3.65),B (3.27)
806,"Ochoa, Benjamin Lawrence",CSE 166 - Image Processing (A),SP19,46,12,100.0%,100.0%,7.67,B+ (3.42),B- (2.70)
807,"Riek, Laurel D",CSE 176A - Healthcare Robotics (A),SP19,25,6,100.0%,100.0%,4.1,B+ (3.50),B+ (3.70)
808,"Swanson, Steven James",CSE 176E - Robotic Sys Design & Implemnt (A),SP19,19,8,100.0%,100.0%,16.21,A- (3.86),
809,"Bafna, Vineet",CSE 182 - Biological Databases (A),SP19,34,14,76.9%,91.7%,10.5,B (3.00),B (3.06)
810,"Gymrek, Melissa Ann",CSE 185 - Advanced Bioinformatics Lab (A),SP19,98,81,93.8%,97.5%,8.75,B+ (3.51),B+ (3.36)
811,"Schulze, Jurgen P.",CSE 190 - Topics/Computer Sci & Engineer (B),SP19,40,8,100.0%,100.0%,9.64,A- (3.86),A- (3.77)
812,"Kumar, Arun Kumar",CSE 190 - Topics/Computer Sci & Engineer (D),SP19,40,33,96.9%,100.0%,8.94,B+ (3.62),B+ (3.66)
813,"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (E),SP19,48,47,95.7%,97.9%,5.95,B+ (3.67),B+ (3.50)
814,"Impagliazzo, Russell",CSE 191 - Semnr/Computer Sci & Engineer (A),SP19,11,3,100.0%,100.0%,3.83,,
815,"Lerner, Ian Amihay",CSE 191 - Semnr/Computer Sci & Engineer (B),SP19,17,3,100.0%,100.0%,7.17,A (4.00),
816,"Halicioglu, Daniel T",CSE 191 - Semnr/Computer Sci & Engineer (C),SP19,37,9,88.9%,88.9%,0.72,A (4.00),A (4.00)
817,"Minnes Kemp, Mor Mia",CSE 20 - Intro/Discrete Mathematics (A),SP19,161,117,87.9%,94.8%,7.82,B (3.23),B- (2.82)
818,"Politz, Joseph Gibbs",CSE 20 - Intro/Discrete Mathematics (B),SP19,163,125,87.8%,97.5%,7.91,B+ (3.35),B- (2.87)
819,"Jones, Miles E",CSE 21 - Math/Algorithm&Systems Analys (A),SP19,146,57,86.8%,90.6%,7.14,B+ (3.43),B (3.17)
820,"Bach, Quang Tran",CSE 21 - Math/Algorithm&Systems Analys (B),SP19,164,64,94.9%,98.3%,8.09,B+ (3.52),B- (2.92)
821,"Alvarado, Christine J.",CSE 3 - Fluency/Information Technology (A),SP19,123,85,86.9%,98.8%,6.02,B+ (3.51),B+ (3.47)
822,"Zaitsev, Anna L",CSE 3 - Fluency/Information Technology (B),SP19,126,84,65.4%,72.8%,4.65,B+ (3.43),B (3.10)
823,"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (A),SP19,289,112,86.5%,96.1%,14.13,B (3.17),B- (2.90)
824,"Ord, Richard",CSE 30 - Computer Organiz&Systms Progrm (B),SP19,204,85,86.4%,92.5%,13.88,B (3.16),B- (2.90)
825,"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),SP19,16,9,100.0%,100.0%,0.72,A (4.00),
826,"Howden, William E.",CSE 87 - Freshman Seminar (B),SP19,17,10,100.0%,100.0%,0.5,,
827,"Porter, Leonard Emerson",CSE 8A - Intro/Computer Sci: Java (I) (A),SP19,146,90,88.4%,96.5%,7.69,B (3.14),B- (2.93)
828,"Porter, Leonard Emerson",CSE 8A - Intro/Computer Sci: Java (I) (B),SP19,146,104,87.1%,97.0%,6.58,B (3.29),B- (2.93)
829,"Snoeren, Alex C.",CSE 8B - Intro/Computer Sci. Java (II) (A),SP19,123,62,78.3%,94.9%,13.78,B- (2.91),C+ (2.43)
830,"Cao, Yingjun",CSE 8B - Intro/Computer Sci. Java (II) (B),SP19,132,73,86.8%,95.6%,14.15,B (3.29),B (3.11)
831,"Alvarado, Christine J.",CSE 95 - Tutor Apprentice (A),SP19,81,60,82.5%,91.2%,2.04,A (4.00),
832,"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (A),WI19,274,260,97.3%,99.6%,11.41,B (3.28),B (3.05)
833,"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (B),WI19,146,134,97.7%,99.2%,10.52,B+ (3.35),B (3.05)
834,"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A),WI19,173,73,92.6%,94.1%,8.47,B (3.23),B- (2.97)
835,"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (B),WI19,176,60,96.6%,89.7%,8.91,B+ (3.42),B- (2.97)
836,"Minnes Kemp, Mor Mia",CSE 105 - Theory of Computation (A),WI19,171,109,92.3%,98.0%,8.81,B+ (3.33),B- (2.89)
837,"Minnes Kemp, Mor Mia",CSE 105 - Theory of Computation (B),WI19,177,116,92.1%,96.5%,7.32,B+ (3.39),B- (2.89)
838,"Zaitsev, Anna L",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI19,150,121,90.1%,84.3%,11.1,B+ (3.45),B+ (3.36)
839,"Zaitsev, Anna L",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI19,154,139,90.6%,94.2%,10.73,B+ (3.55),B+ (3.36)
840,"Griswold, William G.",CSE 110 - Software Engineering (A),WI19,188,142,83.6%,90.0%,11.42,B+ (3.55),B (3.28)
841,"Politz, Joseph Gibbs",CSE 12 - Basic Data Struct & OO Design (A),WI19,175,86,96.4%,95.2%,9.97,B+ (3.35),B (3.18)
842,"Politz, Joseph Gibbs",CSE 12 - Basic Data Struct & OO Design (B),WI19,181,109,96.2%,99.0%,8.65,B+ (3.51),B (3.18)
843,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (C),WI19,159,130,93.0%,88.9%,12.47,B+ (3.52),B (3.18)
844,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI19,183,56,96.1%,98.0%,9.64,B+ (3.33),B- (2.96)
845,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI19,170,57,100.0%,100.0%,8.79,B+ (3.61),B- (2.96)
846,"Porter, George M",CSE 124 - Networked Services (A),WI19,134,26,87.0%,91.3%,7.63,B+ (3.39),B+ (3.37)
847,"Stefan, Deian",CSE 127 - Intro to Computer Security (A),WI19,132,34,83.9%,80.6%,6.9,B (3.28),B+ (3.50)
848,"Polikarpova, Nadezhda",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),WI19,136,43,66.7%,76.9%,9.95,B (3.25),B (3.28)
849,"Vianu, Victor Dan",CSE 132A - Database System Principles (A),WI19,162,44,79.1%,74.4%,6.27,B (3.14),B (3.13)
850,"Deutsch, Alin Bernard",CSE 132B - Database System Applications (A),WI19,34,8,62.5%,62.5%,4.75,B+ (3.57),A- (3.78)
851,"Powell, Thomas Allan",CSE 135 - Online Database Analytics Appl (A),WI19,112,34,82.8%,79.3%,9.5,B (3.30),B+ (3.38)
852,"Orailoglu, Alex",CSE 140 - Component&Desgn Tech/Digtl Sys (A),WI19,25,5,20.0%,20.0%,7.7,B- (2.80),C+ (2.68)
853,"Rosing, Tajana Simunic",CSE 140 - Component&Desgn Tech/Digtl Sys (B),WI19,92,86,82.6%,94.2%,8.38,B- (2.88),C+ (2.59)
854,"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (A),WI19,35,16,46.2%,15.4%,17.21,B (3.21),B- (2.79)
855,"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (B),WI19,19,7,28.6%,28.6%,16.21,C- (1.71),
856,"Porter, Leonard Emerson",CSE 141 - Intro/Computer Architecture (A),WI19,143,110,83.6%,93.6%,7.57,B (3.25),B (3.01)
857,"Esmaeilzadeh, Hadi",CSE 141 - Intro/Computer Architecture (B),WI19,70,67,72.3%,73.0%,6.71,B+ (3.31),B+ (3.57)
858,"Eldon, John",CSE 141L - Project/Computer Architecture (A),WI19,91,29,66.7%,74.1%,6.57,B+ (3.33),B+ (3.38)
859,"Eldon, John",CSE 141L - Project/Computer Architecture (B),WI19,101,31,82.1%,89.3%,8.16,B+ (3.46),B+ (3.38)
860,"Tullsen, Dean Michael",CSE 148 - Adv Processor Arch Design Proj (A),WI19,6,3,100.0%,100.0%,8.5,B+ (3.33),
861,"Gao, Sicun",CSE 150 - Int Artif Intell:Search&Reason (A),WI19,301,90,98.8%,97.6%,7.88,A- (3.79),A- (3.79)
862,"Dasgupta, Sanjoy",CSE 151 - Intro to A.I. Stats Approach (A),WI19,174,53,94.0%,94.0%,6.09,B+ (3.63),B+ (3.63)
863,"Berg-Kirkpatrick, Taylor D",CSE 151 - Intro to A.I. Stats Approach (B),WI19,41,13,75.0%,50.0%,9.0,B+ (3.55),B+ (3.34)
864,"Chandraker, Manmohan Krishna",CSE 152 - Intro to Computer Vision (A),WI19,53,30,86.7%,70.0%,9.33,B+ (3.52),B+ (3.45)
865,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (A),WI19,188,89,82.5%,96.2%,3.24,B+ (3.67),B (3.29)
866,"Ochoa, Benjamin Lawrence",CSE 15L - Software Tools&Techniques Lab (B),WI19,187,84,85.9%,89.6%,3.99,B+ (3.62),B (3.29)
867,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (C),WI19,137,69,79.0%,80.3%,4.09,B+ (3.68),B+ (3.33)
868,"Schulze, Jurgen P.",CSE 165 - 3D User Interaction (A),WI19,43,14,100.0%,100.0%,8.65,A- (3.77),A- (3.87)
869,"Ramamoorthi, Ravi",CSE 167 - Computer Graphics (A),WI19,137,67,96.9%,100.0%,10.26,B+ (3.51),B (3.29)
870,"Rotenberg, Steven Paul",CSE 169 - Computer Animation (A),WI19,28,8,100.0%,100.0%,8.5,A- (3.88),B+ (3.52)
871,"Klemmer, Scott R",CSE 170 - Interaction Design (A),WI19,22,10,40.0%,30.0%,10.7,B+ (3.30),B+ (3.51)
872,"Safonova, Iana",CSE 180 - Biology Meets Computing (A),WI19,26,12,58.3%,25.0%,8.17,B+ (3.63),B+ (3.31)
873,"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI19,12,6,83.3%,66.7%,13.17,B+ (3.33),
874,"Shalev, Aaron D",CSE 190 - Topics/Computer Sci & Engineer (A),WI19,12,6,100.0%,100.0%,9.3,A- (3.75),
