,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
42,"Liao, Ping H",LTEA 120B - Taiwan Films (A),WI19,181,62,83.1%,84.2%,4.09,A- (3.76),B+ (3.41)
43,"Icreverzi, Kimberly Heathe",LTEA 132 - Later Japanese Lit/Translatn (A),WI19,38,16,81.3%,87.5%,7.13,B (3.15),B+ (3.32)
44,"Lee, Jin-Kyung","LTEA 142 - Korean Film, Lit & Pop Culture (A)",WI19,180,60,91.1%,92.7%,3.68,A- (3.87),A- (3.91)
45,"Zhang, Yingjin",LTEA 120A - Chinese Films (A),FA18,322,145,83.2%,83.7%,4.32,A- (3.71),B+ (3.49)
46,"Miyao, Daisuke",LTEA 138 - Japanese Films (A),FA18,390,133,96.1%,95.2%,3.37,A- (3.97),A- (3.93)
47,"Liao, Ping H",LTEA 110A - Classicl Chinese Fict/Transltn (A),SP18,127,31,78.6%,67.9%,5.83,B+ (3.59),B- (2.89)
48,"Heinrich, Larissa",LTEA 110C - Contemp Chin Fiction/Translatn (A),SP18,210,74,92.8%,92.5%,4.89,A- (3.84),A- (3.81)
49,"Berthelier, Benoit P","LTEA 142 - Korean Film, Lit & Pop Culture (A)",SP18,156,64,92.2%,96.9%,3.53,B+ (3.54),B (3.25)
50,"Heinrich, Larissa",LTEA 110B - Modern Chinese Fictn/Transltn (A),WI18,167,59,84.5%,86.0%,5.73,A- (3.80),B+ (3.68)
51,"Miyao, Daisuke",LTEA 132 - Later Japanese Lit/Translatn (A),WI18,40,24,100.0%,100.0%,3.58,A- (3.71),A- (3.81)
52,"Miyao, Daisuke",LTEA 138 - Japanese Films (A),WI18,387,146,97.2%,99.3%,3.16,A- (3.87),A- (3.90)
53,"Berthelier, Benoit P",LTEA 141 - Mod Kor Lit 1945 to Present (A),WI18,16,9,100.0%,100.0%,5.39,A- (3.89),
54,"Liao, Ping H",LTEA 120B - Taiwan Films (A),FA17,275,82,85.9%,88.0%,3.93,B+ (3.67),B+ (3.32)
55,"Zhang, Yingjin",LTEA 120A - Chinese Films (A),SP17,368,176,85.7%,82.7%,4.08,B+ (3.60),B+ (3.32)
56,"Lee, Jin-Kyung",LTEA 143 - Gndr&Sexuality/Kor'n Lit&Cult. (A),SP17,93,37,97.2%,94.4%,4.26,B+ (3.66),B+ (3.58)
57,"Liao, Ping H",LTEA 110A - Classicl Chinese Fict/Transltn (A),WI17,133,44,84.1%,70.5%,5.05,B+ (3.69),B+ (3.60)
58,"Heinrich, Larissa",LTEA 120C - Hong Kong Films (A),WI17,291,103,99.0%,99.0%,4.39,A- (3.91),B+ (3.33)
59,"Lee, Jin-Kyung",LTEA 140 - Modern Korean Lit/Translation (A),WI17,59,24,82.6%,87.0%,5.28,B+ (3.57),B+ (3.37)
60,"Miyao, Daisuke",LTEA 138 - Japanese Films (A),FA16,192,76,100.0%,100.0%,3.1,A- (3.97),A- (3.95)
61,"Rahimi, Babak",LTEA 138GS - Japanese Films (A),S216,27,9,88.9%,88.9%,6.94,A- (3.86),A (4.00)
62,"Heinrich, Larissa",LTEA 110C - Contemp Chin Fiction/Translatn (A),SP16,85,36,100.0%,97.1%,5.59,A- (3.96),A- (3.71)
