,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
19,19,19,19,19,19,19,19,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP16,292,82,77.3%,70.7%,6.08,B (3.21),C+ (2.51),2.51,ece,109
20,20,20,20,20,20,20,20,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI16,107,46,78.6%,78.6%,7.32,C+ (2.65),C+ (2.32),2.32,ece,109
21,21,21,21,21,21,21,21,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),SP15,106,36,86.1%,83.3%,6.63,B- (2.80),C+ (2.39),2.39,ece,109
22,22,22,22,22,22,22,22,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (B),SP15,212,57,75.0%,80.8%,6.66,B (3.19),C+ (2.59),2.59,ece,109
23,23,23,23,23,23,23,23,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI15,129,44,88.1%,81.0%,6.5,B- (2.79),C+ (2.53),2.53,ece,109
24,24,24,24,24,24,24,24,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP14,331,114,82.2%,86.1%,6.02,B+ (3.35),C+ (2.45),2.45,ece,109
25,25,25,25,25,25,25,25,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI14,85,31,85.2%,77.8%,6.98,B (3.04),C+ (2.34),2.34,ece,109
26,26,26,26,26,26,26,26,"Rao, Ramesh R",ECE 109 - Engineering Probability&Stats (B),WI14,78,20,84.2%,84.2%,7.72,C+ (2.63),B- (2.92),2.92,ece,109
27,27,27,27,27,27,27,27,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP13,205,71,84.5%,85.9%,5.38,B+ (3.39),C+ (2.35),2.35,ece,109
28,28,28,28,28,28,28,28,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI13,128,37,86.5%,81.1%,6.39,B (3.29),C (2.17),2.17,ece,109
29,29,29,29,29,29,29,29,"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP12,202,93,90.2%,96.8%,7.79,B+ (3.42),C+ (2.60),2.6,ece,109
30,30,30,30,30,30,30,30,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI12,107,46,78.3%,89.1%,5.57,B (3.00),C (2.16),2.16,ece,109
31,31,31,31,31,31,31,31,"Vardy, Alexander",ECE 109 - Engineering Probability&Stats (B),SP11,129,77,70.1%,90.9%,9.03,B (3.01),C+ (2.59),2.59,ece,109
32,32,32,32,32,32,32,32,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI11,145,56,72.2%,68.5%,7.45,C+ (2.51),C (2.09),2.09,ece,109
33,33,33,33,33,33,33,33,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI10,103,32,75.0%,90.6%,4.38,B (3.29),C (2.21),2.21,ece,109
34,34,34,34,34,34,34,34,"Rao, Ramesh R",ECE 109 - Engineering Probability&Stats (A),FA09,10,13,50.0%,91.7%,6.65,B (3.08),,,ece,109
35,35,35,35,35,35,35,35,"Cruz, Rene L",ECE 109 - Engineering Probability&Stats (A),SP09,126,49,70.2%,83.0%,4.38,B+ (3.60),B (3.18),3.18,ece,109
36,36,36,36,36,36,36,36,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),WI09,112,76,75.3%,88.9%,6.2,B (3.19),C (2.01),2.01,ece,109
37,37,37,37,37,37,37,37,"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),SP08,76,55,72.7%,90.7%,4.76,B (3.17),C+ (2.40),2.4,ece,109
38,38,38,38,38,38,38,38,"Vardy, Alexander",ECE 109 - Engineering Probability&Stats (A),WI08,106,77,73.7%,94.7%,6.94,B (3.23),B- (2.88),2.88,ece,109
