,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
23,23,23,23,23,23,23,23,"Kumar, Rakesh",ECE 150 - Entrepreneurship for Engineers (A),WI20,37,16,80.0%,85.7%,3.7,A- (3.80),B+ (3.56),3.56,ece,15
24,24,24,24,24,24,24,24,"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI20,22,10,88.9%,100.0%,9.17,B+ (3.50),B+ (3.68),3.68,ece,15
25,25,25,25,25,25,25,25,"Javidi, Tara",ECE 159 - Intro Data Proc & Info Theory (A),WI20,17,14,92.9%,100.0%,6.64,B (3.08),,,ece,15
26,26,26,26,26,26,26,26,"Schurgers, Curt",ECE 15 - Engineering Computation (A),FA19,197,144,87.8%,94.3%,8.33,B (3.20),B- (2.93),2.93,ece,15
27,27,27,27,27,27,27,27,"Milstein, Laurence B.",ECE 155 - Digital Communications Theory (A),FA19,9,5,75.0%,100.0%,8.5,B- (2.75),,,ece,15
28,28,28,28,28,28,28,28,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA19,38,17,92.9%,100.0%,4.5,B+ (3.36),B (3.09),3.09,ece,15
29,29,29,29,29,29,29,29,"Schurgers, Curt",ECE 15 - Engineering Computation (A),SP19,99,78,91.0%,97.4%,8.99,B (3.15),B- (2.89),2.89,ece,15
30,30,30,30,30,30,30,30,"Pal, Piya",ECE 153 - Probability&Random Process/Eng (A),SP19,36,28,88.9%,96.3%,7.98,B (3.11),B (3.26),3.26,ece,15
31,31,31,31,31,31,31,31,"Fazeli Chaghooshi, Arman",ECE 154C - Communications SystemsIII (A),SP19,7,5,100.0%,100.0%,8.9,A (4.00),,,ece,15
32,32,32,32,32,32,32,32,"Bharadia, Dinesh",ECE 157B - Communications Systems Lab II (A),SP19,11,6,66.7%,66.7%,8.83,B+ (3.60),,,ece,15
33,33,33,33,33,33,33,33,"Gilja, Vikash",ECE 15 - Engineering Computation (A),WI19,169,76,80.0%,90.0%,8.61,B (3.14),B (3.23),3.23,ece,15
34,34,34,34,34,34,34,34,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),WI19,45,15,100.0%,100.0%,5.5,B+ (3.67),B (3.23),3.23,ece,15
35,35,35,35,35,35,35,35,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI19,8,5,80.0%,80.0%,8.5,B+ (3.40),,,ece,15
36,36,36,36,36,36,36,36,"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI19,8,3,100.0%,100.0%,8.5,B+ (3.67),,,ece,15
37,37,37,37,37,37,37,37,"Vardy, Alexander",ECE 15 - Engineering Computation (A),FA18,262,165,74.8%,80.4%,8.86,B- (2.86),C+ (2.66),2.66,ece,15
38,38,38,38,38,38,38,38,"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),FA18,21,15,66.7%,86.7%,7.97,C+ (2.67),B- (2.75),2.75,ece,15
39,39,39,39,39,39,39,39,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA18,10,3,100.0%,100.0%,5.83,B (3.00),,,ece,15
40,40,40,40,40,40,40,40,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA18,31,10,100.0%,100.0%,3.83,B+ (3.33),B (3.05),3.05,ece,15
41,41,41,41,41,41,41,41,"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),SP18,27,7,85.7%,71.4%,9.36,B- (2.86),B+ (3.49),3.49,ece,15
42,42,42,42,42,42,42,42,"Javidi, Tara",ECE 154C - Communications SystemsIII (A),SP18,7,3,100.0%,100.0%,5.83,B+ (3.67),,,ece,15
43,43,43,43,43,43,43,43,"Zhang, Xinyu",ECE 158B - Data Networks II (A),SP18,7,6,100.0%,100.0%,7.5,A (4.00),,,ece,15
44,44,44,44,44,44,44,44,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI18,135,83,76.9%,83.3%,9.47,B- (2.79),B- (2.87),2.87,ece,15
45,45,45,45,45,45,45,45,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI18,10,5,100.0%,100.0%,6.9,A- (3.75),,,ece,15
46,46,46,46,46,46,46,46,"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI18,7,4,100.0%,100.0%,6.5,A (4.00),,,ece,15
47,47,47,47,47,47,47,47,"Vardy, Alexander",ECE 15 - Engineering Computation (A),FA17,221,123,65.4%,79.8%,10.54,B- (2.97),C+ (2.68),2.68,ece,15
48,48,48,48,48,48,48,48,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA17,97,27,73.9%,73.9%,6.33,B (3.13),B- (2.93),2.93,ece,15
49,49,49,49,49,49,49,49,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA17,15,8,100.0%,100.0%,6.25,B+ (3.38),,,ece,15
50,50,50,50,50,50,50,50,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA17,34,16,93.8%,93.8%,5.03,B (3.25),B (3.13),3.13,ece,15
51,51,51,51,51,51,51,51,"Rao, Ramesh R",ECE 153 - Probability&Random Process/Eng (A),SP17,68,29,74.1%,66.7%,8.35,B (3.19),B (3.01),3.01,ece,15
52,52,52,52,52,52,52,52,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI17,84,24,62.5%,79.2%,9.98,B (3.00),C+ (2.64),2.64,ece,15
53,53,53,53,53,53,53,53,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI17,21,10,100.0%,100.0%,10.5,A- (3.80),B- (2.70),2.7,ece,15
54,54,54,54,54,54,54,54,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA16,83,31,85.7%,85.7%,8.94,B+ (3.38),B- (2.81),2.81,ece,15
55,55,55,55,55,55,55,55,"Orlitsky, Alon",ECE 15 - Engineering Computation (B),FA16,115,49,91.1%,80.0%,8.81,B (3.26),B- (2.81),2.81,ece,15
56,56,56,56,56,56,56,56,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA16,96,39,91.7%,94.4%,7.13,B+ (3.50),B- (2.97),2.97,ece,15
57,57,57,57,57,57,57,57,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA16,22,7,100.0%,100.0%,7.36,B+ (3.50),B- (2.86),2.86,ece,15
58,58,58,58,58,58,58,58,"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),FA16,12,6,100.0%,83.3%,8.5,B+ (3.67),,,ece,15
59,59,59,59,59,59,59,59,"Javidi, Tara",ECE 158A - Data Networks I (A),FA16,39,14,50.0%,33.3%,12.5,B- (2.82),B (3.10),3.1,ece,15
60,60,60,60,60,60,60,60,"Gilja, Vikash",ECE 15 - Engineering Computation (A),SP16,155,55,75.5%,89.8%,8.71,B (3.08),B- (2.88),2.88,ece,15
61,61,61,61,61,61,61,61,"Naghshvar, Mohammad",ECE 153 - Probability&Random Process/Eng (C),SP16,58,48,61.7%,55.3%,9.79,B- (2.93),B- (2.88),2.88,ece,15
62,62,62,62,62,62,62,62,"Kim, Young-Han",ECE 154C - Communications SystemsIII (A),SP16,21,8,87.5%,87.5%,6.0,B (3.25),B+ (3.44),3.44,ece,15
63,63,63,63,63,63,63,63,"Baker, Corey E.",ECE 158B - Data Networks II (B),SP16,43,41,90.0%,92.5%,7.27,B+ (3.58),A- (3.84),3.84,ece,15
64,64,64,64,64,64,64,64,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI16,29,13,92.3%,92.3%,7.88,B (3.23),B- (2.94),2.94,ece,15
65,65,65,65,65,65,65,65,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA15,252,114,79.8%,79.8%,7.56,B (3.16),C+ (2.51),2.51,ece,15
66,66,66,66,66,66,66,66,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA15,112,32,83.3%,83.3%,6.97,B+ (3.57),C+ (2.67),2.67,ece,15
67,67,67,67,67,67,67,67,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA15,25,11,90.0%,100.0%,9.61,B+ (3.30),C+ (2.46),2.46,ece,15
68,68,68,68,68,68,68,68,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA15,69,20,76.5%,88.2%,6.26,B (3.19),B- (2.87),2.87,ece,15
69,69,69,69,69,69,69,69,"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),SP15,54,22,75.0%,70.0%,9.55,B (3.20),C+ (2.66),2.66,ece,15
70,70,70,70,70,70,70,70,"Kim, Young-Han",ECE 154C - Communications SystemsIII (A),SP15,16,4,100.0%,100.0%,9.5,A (4.00),,,ece,15
71,71,71,71,71,71,71,71,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI15,135,51,68.8%,81.3%,9.85,B- (2.84),C+ (2.56),2.56,ece,15
72,72,72,72,72,72,72,72,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI15,19,7,85.7%,85.7%,8.5,B+ (3.57),,,ece,15
73,73,73,73,73,73,73,73,"Gilja, Vikash",ECE 15 - Engineering Computation (A),FA14,188,81,71.8%,91.5%,10.84,B- (2.97),C+ (2.51),2.51,ece,15
74,74,74,74,74,74,74,74,"Vardy, Alexander",ECE 15 - Engineering Computation (B),FA14,172,112,75.9%,75.9%,10.5,B- (2.94),C+ (2.56),2.56,ece,15
75,75,75,75,75,75,75,75,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (B),FA14,101,35,96.9%,93.8%,8.11,B (3.25),B (3.07),3.07,ece,15
76,76,76,76,76,76,76,76,"Minero, Paolo",ECE 158A - Data Networks I (B),FA14,35,17,100.0%,100.0%,6.68,B+ (3.45),B (3.11),3.11,ece,15
77,77,77,77,77,77,77,77,"Kim, Young-Han",ECE 153 - Probability&Random Process/Eng (A),SP14,45,17,81.3%,75.0%,8.77,B- (2.77),B- (2.94),2.94,ece,15
78,78,78,78,78,78,78,78,"Javidi, Tara",ECE 154C - Communications SystemsIII (A),SP14,6,3,100.0%,100.0%,8.5,B+ (3.33),,,ece,15
79,79,79,79,79,79,79,79,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI14,132,54,78.4%,68.6%,9.72,B- (2.73),C+ (2.44),2.44,ece,15
80,80,80,80,80,80,80,80,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI14,7,3,66.7%,100.0%,4.5,B+ (3.33),,,ece,15
81,81,81,81,81,81,81,81,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA13,194,82,81.6%,72.4%,11.22,B (3.07),C+ (2.51),2.51,ece,15
82,82,82,82,82,82,82,82,"Orlitsky, Alon",ECE 15 - Engineering Computation (B),FA13,188,86,80.2%,64.2%,10.13,B (3.08),C+ (2.51),2.51,ece,15
83,83,83,83,83,83,83,83,"Gilja, Vikash",ECE 15 - Engineering Computation (C),FA13,155,81,72.7%,84.4%,11.47,B- (2.99),B- (2.90),2.9,ece,15
84,84,84,84,84,84,84,84,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA13,44,20,89.5%,100.0%,8.71,B+ (3.37),B- (2.95),2.95,ece,15
85,85,85,85,85,85,85,85,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA13,15,6,83.3%,100.0%,8.1,B (3.00),,,ece,15
86,86,86,86,86,86,86,86,"Franceschetti, Massimo",ECE 158A - Data Networks I (B),FA13,25,9,100.0%,100.0%,5.17,B+ (3.67),B- (2.74),2.74,ece,15
87,87,87,87,87,87,87,87,"Lee, Jungwon",ECE 153 - Probability&Random Process/Eng (A),SP13,41,18,70.6%,35.3%,9.44,B- (2.75),B (3.04),3.04,ece,15
88,88,88,88,88,88,88,88,"Trivedi, Mohan M.",ECE 156 - Sensor Networks (A),SP13,12,5,80.0%,60.0%,3.7,B+ (3.60),,,ece,15
89,89,89,89,89,89,89,89,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI13,75,29,72.0%,72.0%,9.0,B (3.09),C+ (2.46),2.46,ece,15
90,90,90,90,90,90,90,90,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI13,9,5,80.0%,100.0%,11.3,A- (3.75),,,ece,15
91,91,91,91,91,91,91,91,"Cruz, Rene L",ECE 15 - Engineering Computation (A),FA12,178,73,74.6%,35.8%,9.99,B- (2.84),B (3.14),3.14,ece,15
92,92,92,92,92,92,92,92,"Frankie, Tasha Christine",ECE 15 - Engineering Computation (B),FA12,131,83,82.7%,81.3%,9.78,B+ (3.45),C+ (2.60),2.6,ece,15
93,93,93,93,93,93,93,93,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA12,60,26,87.0%,95.7%,7.98,B+ (3.48),B- (2.76),2.76,ece,15
94,94,94,94,94,94,94,94,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA12,19,11,100.0%,100.0%,8.75,B (3.25),,,ece,15
95,95,95,95,95,95,95,95,"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA12,18,11,100.0%,100.0%,6.28,B (3.22),,,ece,15
96,96,96,96,96,96,96,96,"Frankie, Tasha Christine",ECE 15 - Engineering Computation (A),S212,46,12,91.7%,100.0%,10.17,B+ (3.67),C+ (2.63),2.63,ece,15
97,97,97,97,97,97,97,97,"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),SP12,35,17,82.4%,88.2%,10.97,B- (2.93),C+ (2.63),2.63,ece,15
98,98,98,98,98,98,98,98,"Kim, Young-Han",ECE 154C - Communications SystemsIII (A),SP12,17,9,100.0%,100.0%,5.17,A- (3.89),,,ece,15
99,99,99,99,99,99,99,99,"Cruz, Rene L",ECE 158B - Data Networks II (A),SP12,11,8,75.0%,50.0%,9.75,A- (3.75),,,ece,15
100,100,100,100,100,100,100,100,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI12,105,52,71.2%,69.2%,11.75,B (3.16),C (2.14),2.14,ece,15
101,101,101,101,101,101,101,101,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI12,17,8,100.0%,100.0%,7.75,B (3.00),,,ece,15
102,102,102,102,102,102,102,102,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA11,209,84,71.4%,65.1%,10.31,B- (2.82),C+ (2.41),2.41,ece,15
103,103,103,103,103,103,103,103,"Orlitsky, Alon",ECE 15 - Engineering Computation (B),FA11,52,28,75.0%,64.3%,10.14,C+ (2.69),C+ (2.41),2.41,ece,15
104,104,104,104,104,104,104,104,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA11,45,20,85.0%,90.0%,8.7,B (3.26),B (3.25),3.25,ece,15
105,105,105,105,105,105,105,105,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA11,20,12,100.0%,100.0%,10.0,B (3.17),B- (2.84),2.84,ece,15
106,106,106,106,106,106,106,106,"Franceschetti, Massimo",ECE 158A - Data Networks I (B),FA11,14,10,80.0%,80.0%,6.1,B+ (3.63),,,ece,15
107,107,107,107,107,107,107,107,"Kim, Young-Han",ECE 153 - Probability&Random Process/Eng (A),SP11,33,16,87.5%,100.0%,8.88,B- (2.80),B- (2.72),2.72,ece,15
108,108,108,108,108,108,108,108,"Javidi, Tara",ECE 154C - Communications SystemsIII (A),SP11,16,12,91.7%,83.3%,7.67,B+ (3.42),,,ece,15
109,109,109,109,109,109,109,109,"Hodgkiss, William S.",ECE 156 - Sensor Networks (A),SP11,54,19,68.4%,94.7%,4.5,B+ (3.35),C+ (2.65),2.65,ece,15
110,110,110,110,110,110,110,110,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI11,64,20,45.0%,70.0%,12.9,C+ (2.65),C (2.29),2.29,ece,15
111,111,111,111,111,111,111,111,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI11,21,9,88.9%,88.9%,7.61,B+ (3.56),B- (2.74),2.74,ece,15
112,112,112,112,112,112,112,112,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA10,179,91,67.8%,60.2%,10.36,B (3.01),C+ (2.54),2.54,ece,15
113,113,113,113,113,113,113,113,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA10,34,21,81.0%,95.2%,7.36,B+ (3.43),B- (2.72),2.72,ece,15
114,114,114,114,114,114,114,114,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA10,28,12,66.7%,75.0%,7.0,B- (2.91),C+ (2.55),2.55,ece,15
115,115,115,115,115,115,115,115,"Cruz, Rene L",ECE 158A - Data Networks I (A),FA10,25,7,85.7%,85.7%,6.21,B+ (3.57),B (3.24),3.24,ece,15
116,116,116,116,116,116,116,116,"Yun, Kenneth Yi",ECE 15 - Engineering Computation (A),SU10,14,7,71.4%,71.4%,17.07,B (3.20),,,ece,15
117,117,117,117,117,117,117,117,"Kim, Young-Han",ECE 153 - Probability&Random Process/Eng (A),SP10,26,10,100.0%,90.0%,8.7,B- (2.90),B- (2.82),2.82,ece,15
118,118,118,118,118,118,118,118,"Wolf, Jack K",ECE 154C - Communications SystemsIII (A),SP10,26,15,100.0%,100.0%,6.63,B+ (3.40),B+ (3.36),3.36,ece,15
119,119,119,119,119,119,119,119,"Hodgkiss, William S.",ECE 156 - Sensor Networks (A),SP10,41,21,75.0%,90.0%,4.2,B (3.15),C+ (2.58),2.58,ece,15
120,120,120,120,120,120,120,120,"Vardy, Alexander",ECE 15 - Engineering Computation (A),WI10,57,22,47.6%,61.9%,12.68,B- (2.90),C+ (2.64),2.64,ece,15
121,121,121,121,121,121,121,121,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI10,29,15,100.0%,100.0%,6.5,B (3.21),B (3.08),3.08,ece,15
122,122,122,122,122,122,122,122,"Cruz, Rene L",ECE 158B - Data Networks II (A),WI10,6,3,66.7%,0.0%,0.5,B+ (3.33),,,ece,15
123,123,123,123,123,123,123,123,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),FA09,103,58,79.3%,65.5%,10.36,B (3.28),C+ (2.69),2.69,ece,15
124,124,124,124,124,124,124,124,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA09,44,22,72.7%,86.4%,6.41,B (3.16),C+ (2.66),2.66,ece,15
125,125,125,125,125,125,125,125,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA09,28,16,81.3%,100.0%,5.88,B (3.14),B- (2.89),2.89,ece,15
126,126,126,126,126,126,126,126,"Wolf, Jack K",ECE 155A - Digital Recording Systems (A),FA09,4,4,75.0%,100.0%,5.5,A- (3.75),,,ece,15
127,127,127,127,127,127,127,127,"Cruz, Rene L",ECE 158A - Data Networks I (A),FA09,12,10,60.0%,60.0%,6.7,A- (3.78),,,ece,15
128,128,128,128,128,128,128,128,"Vanesian, Tasha Christine",ECE 15 - Engineering Computation (A),SU09,20,9,66.7%,66.7%,6.72,B+ (3.63),,,ece,15
129,129,129,129,129,129,129,129,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),SP09,50,40,87.5%,87.5%,7.35,B+ (3.38),C+ (2.56),2.56,ece,15
130,130,130,130,130,130,130,130,"Wolf, Jack K",ECE 154C - Communications SystemsIII (A),SP09,13,12,100.0%,100.0%,5.67,B+ (3.58),,,ece,15
131,131,131,131,131,131,131,131,"Hodgkiss, William S.",ECE 156 - Sensor Networks (A),SP09,50,20,89.5%,100.0%,3.0,B+ (3.37),C+ (2.64),2.64,ece,15
132,132,132,132,132,132,132,132,"Balakrishnannairsa, Manoj",ECE 158B - Data Networks II (A),SP09,12,12,100.0%,100.0%,7.0,B+ (3.50),,,ece,15
133,133,133,133,133,133,133,133,"Orlitsky, Alon",ECE 15 - Engineering Computation (A),WI09,41,23,78.3%,87.0%,7.28,B (3.17),C+ (2.31),2.31,ece,15
134,134,134,134,134,134,134,134,"Wolf, Jack K",ECE 154B - Communications Systems II (A),WI09,14,15,92.9%,100.0%,7.3,B+ (3.54),,,ece,15
135,135,135,135,135,135,135,135,"Ehsan, Navid",ECE 158A - Data Networks I (A),WI09,37,27,96.2%,96.0%,5.76,B+ (3.50),B- (2.83),2.83,ece,15
136,136,136,136,136,136,136,136,"Masry, Elias",ECE 159B - Queuing Syst:ComptrSys&DataNet (A),WI09,10,12,100.0%,91.7%,7.33,B+ (3.64),,,ece,15
137,137,137,137,137,137,137,137,"Vardy, Alexander",ECE 15 - Engineering Computation (A),FA08,80,56,73.2%,67.9%,8.04,B (3.13),C+ (2.34),2.34,ece,15
138,138,138,138,138,138,138,138,"Kim, Young-Han",ECE 153 - Probability&Random Process/Eng (A),FA08,24,23,72.7%,72.7%,8.15,B- (2.91),B (3.05),3.05,ece,15
139,139,139,139,139,139,139,139,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA08,15,13,83.3%,84.6%,6.5,B (3.15),,,ece,15
140,140,140,140,140,140,140,140,"Masry, Elias",ECE 159A - Queuing Systems: Fundamentals (A),FA08,17,15,100.0%,100.0%,7.3,B+ (3.69),,,ece,15
141,141,141,141,141,141,141,141,"Kim, Young-Han",ECE 153 - Probability&Random Process/Eng (A),SP08,32,22,85.7%,81.0%,9.05,B- (2.90),B- (2.92),2.92,ece,15
142,142,142,142,142,142,142,142,"Wolf, Jack K",ECE 154C - Communications SystemsIII (A),SP08,17,12,100.0%,100.0%,7.17,A- (3.75),,,ece,15
143,143,143,143,143,143,143,143,"Hodgkiss, William S.",ECE 156 - Sensor Networks (A),SP08,27,12,83.3%,91.7%,5.0,B+ (3.58),C (2.16),2.16,ece,15
144,144,144,144,144,144,144,144,"Balakrishnannairsa, Manoj",ECE 158B - Data Networks II (A),SP08,8,8,100.0%,100.0%,7.75,A- (3.86),,,ece,15
145,145,145,145,145,145,145,145,"Guest, Clark C",ECE 15 - Engineering Computation (A),WI08,27,14,42.9%,35.7%,6.81,B (3.07),C+ (2.59),2.59,ece,15
146,146,146,146,146,146,146,146,"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI08,14,13,100.0%,100.0%,7.27,B+ (3.58),,,ece,15
147,147,147,147,147,147,147,147,"Papen, George C.",ECE 157A - Communications Systems Lab I (A),WI08,4,4,100.0%,100.0%,7.0,A (4.00),,,ece,15
148,148,148,148,148,148,148,148,"Ehsan, Navid",ECE 158A - Data Networks I (A),WI08,18,16,80.0%,60.0%,5.25,B+ (3.60),,,ece,15
149,149,149,149,149,149,149,149,"Guest, Clark C",ECE 15 - Engineering Computation (A),FA07,60,45,73.3%,53.3%,5.74,B- (2.95),C+ (2.42),2.42,ece,15
150,150,150,150,150,150,150,150,"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),FA07,28,21,85.7%,85.7%,7.83,B+ (3.63),B (3.15),3.15,ece,15
151,151,151,151,151,151,151,151,"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA07,20,11,100.0%,100.0%,7.41,B+ (3.44),B (3.22),3.22,ece,15
152,152,152,152,152,152,152,152,"Wolf, Jack K",ECE 155A - Digital Recording Systems (A),FA07,4,4,100.0%,100.0%,7.0,A- (3.75),,,ece,15
153,153,153,153,153,153,153,153,"Masry, Elias",ECE 159A - Queuing Systems: Fundamentals (A),FA07,8,8,100.0%,100.0%,8.75,B (3.13),,,ece,15
