,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
67,67,67,67,67,67,67,67,67,67,67,67,"Savage, Stefan",CSE 127 - Intro to Computer Security (A),SP19,220,53,95.9%,98.0%,8.26,B+ (3.38),B- (2.96),2.96,cse,12
68,68,68,68,68,68,68,68,68,68,68,68,"Politz, Joseph Gibbs",CSE 12 - Basic Data Struct & OO Design (A),WI19,175,86,96.4%,95.2%,9.97,B+ (3.35),B (3.18),3.18,cse,12
69,69,69,69,69,69,69,69,69,69,69,69,"Politz, Joseph Gibbs",CSE 12 - Basic Data Struct & OO Design (B),WI19,181,109,96.2%,99.0%,8.65,B+ (3.51),B (3.18),3.18,cse,12
70,70,70,70,70,70,70,70,70,70,70,70,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (C),WI19,159,130,93.0%,88.9%,12.47,B+ (3.52),B (3.18),3.18,cse,12
71,71,71,71,71,71,71,71,71,71,71,71,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (A),WI19,183,56,96.1%,98.0%,9.64,B+ (3.33),B- (2.96),2.96,cse,12
72,72,72,72,72,72,72,72,72,72,72,72,"Pasquale, Joseph",CSE 120 - Princ/Computer Operating Systm (B),WI19,170,57,100.0%,100.0%,8.79,B+ (3.61),B- (2.96),2.96,cse,12
73,73,73,73,73,73,73,73,73,73,73,73,"Porter, George M",CSE 124 - Networked Services (A),WI19,134,26,87.0%,91.3%,7.63,B+ (3.39),B+ (3.37),3.37,cse,12
74,74,74,74,74,74,74,74,74,74,74,74,"Stefan, Deian",CSE 127 - Intro to Computer Security (A),WI19,132,34,83.9%,80.6%,6.9,B (3.28),B+ (3.50),3.5,cse,12
75,75,75,75,75,75,75,75,75,75,75,75,"Allos, Haytham Issa",CSE 12 - Basic Data Struct & OO Design (A),FA18,153,128,88.2%,87.4%,11.07,B+ (3.47),B (3.06),3.06,cse,12
76,76,76,76,76,76,76,76,76,76,76,76,"Zaitsev, Anna L",CSE 12 - Basic Data Struct & OO Design (B),FA18,145,123,85.4%,73.0%,10.48,B+ (3.35),B (3.02),3.02,cse,12
77,77,77,77,77,77,77,77,77,77,77,77,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (A),FA18,118,58,92.9%,87.5%,9.83,B+ (3.43),B- (2.77),2.77,cse,12
78,78,78,78,78,78,78,78,78,78,78,78,"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (B),FA18,95,41,84.2%,89.5%,9.92,B (3.26),B- (2.77),2.77,cse,12
79,79,79,79,79,79,79,79,79,79,79,79,"Snoeren, Alex C.",CSE 123 - Computer Networks (B),FA18,108,39,97.4%,94.6%,9.61,B (3.14),B- (2.86),2.86,cse,12
80,80,80,80,80,80,80,80,80,80,80,80,"Savage, Stefan",CSE 127 - Intro to Computer Security (A),FA18,168,53,91.7%,91.7%,9.15,B (3.24),B (3.07),3.07,cse,12
81,81,81,81,81,81,81,81,81,81,81,81,"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),SP18,170,77,84.5%,80.3%,12.72,B (3.28),B (3.01),3.01,cse,12
82,82,82,82,82,82,82,82,82,82,82,82,"Papadopoulos, Philip Micha",CSE 12 - Basic Data Struct & OO Design (B),SP18,221,81,94.9%,94.8%,11.88,B (3.29),B- (2.99),2.99,cse,12
83,83,83,83,83,83,83,83,83,83,83,83,"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),SP18,191,68,93.8%,96.9%,10.81,B+ (3.52),B- (2.96),2.96,cse,12
