,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
29,29,29,29,29,29,29,29,29,29,29,29,29,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA14,207,76,91.5%,97.2%,7.88,B (3.13),C+ (2.63),2.63,ece,101
30,30,30,30,30,30,30,30,30,30,30,30,30,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),S114,82,14,90.9%,81.8%,14.14,B (3.10),C+ (2.61),2.61,ece,101
31,31,31,31,31,31,31,31,31,31,31,31,31,"Vardy, Alexander",ECE 101 - Linear Systems Fundamentals (A),WI14,104,37,75.0%,81.3%,8.5,B (3.20),C+ (2.62),2.62,ece,101
32,32,32,32,32,32,32,32,32,32,32,32,32,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA13,158,89,94.2%,96.5%,8.59,B+ (3.30),C+ (2.52),2.52,ece,101
33,33,33,33,33,33,33,33,33,33,33,33,33,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),S113,86,22,86.4%,90.9%,9.95,B (3.09),C+ (2.54),2.54,ece,101
34,34,34,34,34,34,34,34,34,34,34,34,34,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),WI13,76,30,82.8%,89.7%,9.31,B- (2.88),C+ (2.55),2.55,ece,101
35,35,35,35,35,35,35,35,35,35,35,35,35,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),FA12,95,20,94.1%,100.0%,9.44,B+ (3.47),C+ (2.39),2.39,ece,101
36,36,36,36,36,36,36,36,36,36,36,36,36,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),S112,37,10,90.0%,100.0%,12.9,B+ (3.30),C+ (2.55),2.55,ece,101
37,37,37,37,37,37,37,37,37,37,37,37,37,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),WI12,68,38,86.8%,94.7%,9.26,B (3.28),B- (2.72),2.72,ece,101
38,38,38,38,38,38,38,38,38,38,38,38,38,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),FA11,89,37,83.8%,86.5%,8.83,B (3.17),C+ (2.62),2.62,ece,101
39,39,39,39,39,39,39,39,39,39,39,39,39,"Chan, Ho",ECE 101 - Linear Systems Fundamentals (A),S211,50,18,94.4%,88.9%,9.39,B+ (3.35),B (3.09),3.09,ece,101
40,40,40,40,40,40,40,40,40,40,40,40,40,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),WI11,70,25,84.0%,92.0%,7.94,B- (2.96),C+ (2.59),2.59,ece,101
41,41,41,41,41,41,41,41,41,41,41,41,41,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA10,108,42,92.9%,92.9%,7.07,B (3.25),C+ (2.53),2.53,ece,101
42,42,42,42,42,42,42,42,42,42,42,42,42,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),WI10,53,21,85.7%,75.0%,6.79,B+ (3.40),C+ (2.39),2.39,ece,101
43,43,43,43,43,43,43,43,43,43,43,43,43,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA09,56,28,78.6%,100.0%,7.93,B (3.15),B- (2.79),2.79,ece,101
44,44,44,44,44,44,44,44,44,44,44,44,44,"Quest, Kevin B",ECE 101 - Linear Systems Fundamentals (A),WI09,52,18,88.9%,77.8%,6.06,B+ (3.44),C+ (2.45),2.45,ece,101
45,45,45,45,45,45,45,45,45,45,45,45,45,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA08,108,66,90.6%,91.9%,9.41,B (3.08),C+ (2.65),2.65,ece,101
46,46,46,46,46,46,46,46,46,46,46,46,46,"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),WI08,65,42,95.2%,100.0%,7.83,B+ (3.40),C+ (2.50),2.5,ece,101
47,47,47,47,47,47,47,47,47,47,47,47,47,"Vardy, Alexander",ECE 101 - Linear Systems Fundamentals (A),FA07,98,65,79.4%,79.0%,7.83,B (3.00),B- (2.85),2.85,ece,101
