,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
80,80,80,80,"Pasquale, Joseph",CSE 21 - Math/Algorithm&Systems Analys (A),WI10,112,59,84.7%,96.6%,4.67,B+ (3.45),B (3.13),3.13,cse,21
81,81,81,81,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),FA09,135,63,81.7%,91.7%,4.4,B (3.30),B- (2.91),2.91,cse,21
82,82,82,82,"Dahlstrom, Dana B.",CSE 21 - Math/Algorithm&Systems Analys (A),SU09,25,10,70.0%,60.0%,8.9,B (3.00),,,cse,21
83,83,83,83,"Dahlstrom, Dana B.",CSE 21 - Math/Algorithm&Systems Analys (A),SP09,66,31,51.6%,58.1%,4.24,B- (2.97),C+ (2.53),2.53,cse,21
84,84,84,84,"Orlitsky, Alon",CSE 21 - Math/Algorithm&Systems Analys (A),WI09,49,37,89.2%,56.8%,5.96,B (3.06),C+ (2.65),2.65,cse,21
85,85,85,85,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),FA08,75,44,85.4%,95.2%,3.64,B+ (3.49),B (3.27),3.27,cse,21
86,86,86,86,"Dahlstrom, Dana B.",CSE 21 - Math/Algorithm&Systems Analys (A),SU08,23,19,73.7%,84.2%,8.5,B (3.21),,,cse,21
87,87,87,87,"Orlitsky, Alon",CSE 21 - Math/Algorithm&Systems Analys (A),SP08,18,15,60.0%,80.0%,7.7,B- (2.86),,,cse,21
88,88,88,88,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),WI08,57,30,90.0%,90.0%,4.43,B+ (3.46),B+ (3.31),3.31,cse,21
89,89,89,89,"Graham, Ronald L",CSE 21 - Math/Algorithm&Systems Analys (A),FA07,59,33,87.5%,100.0%,3.17,B+ (3.44),B (3.21),3.21,cse,21
90,90,90,90,"Rhodes, Neil Campbell",CSE 21 - Math/Algorithm&Systems Analys (A),SU07,21,20,85.0%,95.0%,6.1,B+ (3.40),,,cse,21
