,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
85,85,85,85,"Kube, Paul Richard",CSE 15L - Software Tools&Techniques Lab (B),WI14,171,58,68.6%,74.5%,3.54,B+ (3.50),B (3.14),3.14,cse,15L
86,86,86,86,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA13,168,49,59.2%,75.5%,3.42,B+ (3.36),B (3.21),3.21,cse,15L
87,87,87,87,"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (B),FA13,110,40,64.1%,76.9%,2.96,B+ (3.56),B (3.20),3.2,cse,15L
88,88,88,88,"Ord, Richard",CSE 15L - Software Tools&Techniques Lab (A),S113,56,24,90.9%,95.5%,5.74,A- (3.85),A- (3.73),3.73,cse,15L
89,89,89,89,"Kube, Paul Richard",CSE 15L - Software Tools&Techniques Lab (A),SP13,171,51,84.0%,82.0%,3.15,B+ (3.48),B (3.29),3.29,cse,15L
90,90,90,90,"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (B),SP13,167,74,80.8%,68.5%,2.97,B+ (3.55),B+ (3.42),3.42,cse,15L
91,91,91,91,"Kube, Paul Richard",CSE 15L - Software Tools&Techniques Lab (A),WI13,178,62,83.3%,80.0%,3.33,A- (3.86),A- (3.71),3.71,cse,15L
92,92,92,92,"Kube, Paul Richard",CSE 15L - Software Tools&Techniques Lab (A),FA12,179,74,82.9%,87.1%,3.71,B+ (3.68),B+ (3.38),3.38,cse,15L
93,93,93,93,"Ord, Richard",CSE 15L - Software Tools&Techniques Lab (A),S112,50,16,100.0%,100.0%,3.88,B+ (3.69),A- (3.72),3.72,cse,15L
94,94,94,94,"Kube, Paul Richard",CSE 15L - Software Tools&Techniques Lab (A),SP12,142,45,88.9%,81.8%,4.19,B+ (3.45),B (3.26),3.26,cse,15L
95,95,95,95,"Kube, Paul Richard",CSE 15L - Software Tools&Techniques Lab (A),WI12,122,45,79.5%,79.5%,2.91,A- (3.74),B+ (3.47),3.47,cse,15L
96,96,96,96,"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (A),FA11,149,64,53.1%,64.1%,3.41,B+ (3.63),B (3.10),3.1,cse,15L
97,97,97,97,"Ord, Richard",CSE 15L - Software Tools&Techniques Lab (A),S111,50,16,93.8%,100.0%,5.38,B+ (3.56),B+ (3.33),3.33,cse,15L
98,98,98,98,"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (A),SP11,126,53,62.3%,64.2%,3.78,B+ (3.49),B- (2.82),2.82,cse,15L
99,99,99,99,"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (A),WI11,66,35,54.3%,50.0%,3.13,B (3.18),B (3.24),3.24,cse,15L
100,100,100,100,"Elkan, Charles Peter",CSE 15L - Software Tools&Techniques Lab (A),FA10,112,60,74.1%,89.7%,1.83,A- (3.77),B- (2.91),2.91,cse,15L
101,101,101,101,"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (A),SP10,30,16,56.3%,43.8%,3.38,B (3.25),B- (2.83),2.83,cse,15L
