,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,GPA,dept,num
97,97,97,97,97,97,97,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP15,147,48,95.3%,86.0%,11.06,B+ (3.44),B- (2.92),2.92,cse,11
98,98,98,98,98,98,98,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP15,191,94,85.4%,79.8%,11.03,B+ (3.38),B (3.28),3.28,cse,11
99,99,99,99,99,99,99,"Menarini, Massimiliano",CSE 110 - Software Engineering (B),SP15,139,93,78.3%,65.2%,8.34,B+ (3.38),B (3.19),3.19,cse,11
100,100,100,100,100,100,100,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI15,151,101,94.9%,78.6%,10.56,B+ (3.52),B (3.13),3.13,cse,11
101,101,101,101,101,101,101,"Jundt, Adam H",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),WI15,174,80,94.7%,90.8%,7.98,A- (3.73),B+ (3.52),3.52,cse,11
102,102,102,102,102,102,102,"Arsanjani, Ali Paul",CSE 110 - Software Engineering (A),WI15,115,49,76.6%,25.5%,7.8,B+ (3.33),B (3.02),3.02,cse,11
103,103,103,103,103,103,103,"Menarini, Massimiliano",CSE 110 - Software Engineering (B),WI15,109,59,54.5%,43.6%,6.35,B (3.25),B- (2.97),2.97,cse,11
104,104,104,104,104,104,104,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (A),WI15,116,59,90.4%,96.2%,6.7,B+ (3.42),B+ (3.33),3.33,cse,11
105,105,105,105,105,105,105,"Porter, Jesse D",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),FA14,173,80,94.4%,73.6%,8.14,A- (3.75),B+ (3.68),3.68,cse,11
106,106,106,106,106,106,106,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),FA14,185,94,98.7%,100.0%,10.34,A- (3.82),A- (3.73),3.73,cse,11
107,107,107,107,107,107,107,"Allos, Haytham Issa",CSE 110 - Software Engineering (A),FA14,165,69,76.6%,54.7%,8.44,B (3.23),B (3.26),3.26,cse,11
108,108,108,108,108,108,108,"Arsanjani, Ali Paul",CSE 110 - Software Engineering (C),FA14,79,44,89.7%,76.9%,7.26,B (3.18),B (3.09),3.09,cse,11
109,109,109,109,109,109,109,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA14,46,14,92.9%,100.0%,8.79,B+ (3.46),B+ (3.60),3.6,cse,11
110,110,110,110,110,110,110,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S214,36,9,77.8%,77.8%,9.39,B+ (3.63),B (3.01),3.01,cse,11
111,111,111,111,111,111,111,"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S114,30,5,100.0%,100.0%,9.3,B+ (3.60),B- (2.95),2.95,cse,11
112,112,112,112,112,112,112,"Miranda, Gregory Joseph",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP14,138,57,83.0%,60.4%,12.62,B+ (3.59),B (3.08),3.08,cse,11
113,113,113,113,113,113,113,"Gillespie, Gary N",CSE 110 - Software Engineering (A),SP14,193,55,88.5%,88.5%,10.5,B+ (3.51),B+ (3.41),3.41,cse,11
114,114,114,114,114,114,114,"Menarini, Massimiliano",CSE 110 - Software Engineering (B),SP14,143,57,73.6%,52.8%,8.31,B+ (3.54),B+ (3.36),3.36,cse,11
115,115,115,115,115,115,115,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),WI14,151,66,96.8%,96.8%,13.6,B+ (3.69),B+ (3.34),3.34,cse,11
116,116,116,116,116,116,116,"Griswold, William G.",CSE 110 - Software Engineering (A),WI14,194,95,94.6%,84.8%,10.36,B+ (3.41),B (3.07),3.07,cse,11
117,117,117,117,117,117,117,"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),FA13,179,103,93.9%,92.9%,11.17,A- (3.71),B+ (3.63),3.63,cse,11
118,118,118,118,118,118,118,"Papadopoulos, Philip Micha",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (C),FA13,152,98,94.7%,74.7%,9.84,B+ (3.40),B- (2.76),2.76,cse,11
119,119,119,119,119,119,119,"Menarini, Massimiliano",CSE 110 - Software Engineering (A),FA13,173,158,69.4%,47.8%,7.02,B (3.15),B (3.03),3.03,cse,11
120,120,120,120,120,120,120,"Powell, Thomas Allan",CSE 112 - Advanced Software Engineering (B),FA13,54,24,90.9%,86.4%,9.77,B (3.20),B+ (3.46),3.46,cse,11
121,121,121,121,121,121,121,"Weibel, Nadir",CSE 118 - Ubiquitous Computing (B),FA13,46,17,100.0%,100.0%,7.38,A- (3.81),B+ (3.61),3.61,cse,11
