,GPA,yearly_num,dept,num,index,Course
LTTH 115,3.6943237250554324,28,LTTH,115,1,
LTTH 150,3.9227272727272737,0,LTTH,150,2,
LTWL 4A,3.19,0,LTWL,4,0,
LTWL 4B,3.51,0,LTWL,4,1,
LTWL 4C,3.1058823529411765,0,LTWL,4,2,
LTWL 4D,3.309714285714285,0,LTWL,4,3,
LTWL 4M,3.428014705882353,0,LTWL,4,4,
LTWL 19A,3.2306920415224916,0,LTWL,19,5,
LTWL 19B,2.828658146964856,0,LTWL,19,6,
LTWL 19C,2.7422754491017964,0,LTWL,19,7,
LTWL 100,3.3302484472049687,67,LTWL,100,8,
LTWL 104,3.36,0,LTWL,104,9,
LTWL 106,3.396443298969072,0,LTWL,106,10,
LTWL 110B,3.917481481481482,0,LTWL,110,11,
LTWL 114,3.3078145191942228,0,LTWL,114,12,
LTWL 115,3.32,0,LTWL,115,13,
LTWL 116,3.187271773347324,0,LTWL,116,14,
LTWL 120,3.166544117647059,69,LTWL,120,15,
LTWL 122,3.1,0,LTWL,122,16,
LTWL 123,3.4714795918367347,38,LTWL,123,17,
LTWL 124,3.221113074204947,36,LTWL,124,18,
LTWL 128,3.56,0,LTWL,128,19,
LTWL 135,3.035668449197861,0,LTWL,135,20,
LTWL 138,3.5564957264957267,0,LTWL,138,21,
LTWL 147,3.0400000000000005,0,LTWL,147,22,
LTWL 152,3.9099999999999997,0,LTWL,152,23,
LTWL 153,3.8799999999999994,0,LTWL,153,24,
LTWL 155,3.846122448979592,25,LTWL,155,25,
LTWL 157,3.9175862068965515,0,LTWL,157,26,
LTWL 158A,3.5321311475409836,0,LTWL,158,27,
LTWL 158B,3.41,0,LTWL,158,28,
LTWL 159,3.9700000000000006,0,LTWL,159,29,
LTWL 160,3.6449107142857144,38,LTWL,160,30,
LTWL 165,3.446304347826086,0,LTWL,165,31,
LTWL 168,3.44,0,LTWL,168,32,
LTWL 172,3.888606811145511,74,LTWL,172,33,
LTWL 172GS,3.98,0,LTWL,172,34,
LTWL 175GS,3.925333333333333,0,LTWL,175,35,
LTWL 176,3.731902654867257,35,LTWL,176,36,
LTWL 177,3.965898876404495,0,LTWL,177,37,
LTWL 180,3.558951048951049,40,LTWL,180,38,
